中,文
0.5722964082933976,0.12325792336980745
0.5792441527900897,0.5825131214467709
0.5796683237133821,0.6107298191347906
0.4520637842291185,0.9754452939365199
0.03604311450126496,0.9705084748156515
0.7353427957972909,0.5061455294737023
0.1478669581639518,0.2402168939716084
0.5089904941362153,0.5164339607104915
0.8441664453853192,0.80258965510613
0.18605013388213787,0.7532354646025223
0.9417980559225776,0.15954044036034465
0.6446032023999646,0.8204513770050272
0.18709976531575667,0.34470129847192166
0.16990094837467984,0.07993338164351249
0.8358113911564621,0.11616905624632812
0.9571135974100795,0.20855476157775044
0.3363125297965671,0.20398525097528253
0.7490533448173373,0.8837391234980858
0.3660260220096557,0.7632014870164815
0.6904366771807089,0.2607913978606925
0.614702072899832,0.0021770900953634875
0.11346832311774357,0.09028627238936648
0.34901948161685103,0.6249204703680742
0.30130884766861576,0.4376116478212141
0.6093686192166535,0.8076505121371267
0.8447810646307693,0.18314841245475777
0.07869692907360837,0.2065598467564781
0.11761184625783039,0.44312697334942996
0.34424957065344,0.784060954033449
0.3453182867501222,0.6068403587261804
0.9595504562676567,0.758161681165086
0.7414274457997728,0.1517814370284899
0.12220904422631607,0.8039526465081421
0.23953059223629847,0.7897178928693853
0.04201377173051846,0.38900892100845974
0.4369642086596043,0.6561601135655192
0.3315323314172236,0.8086357562111318
0.34932771415687147,0.21098814127959375
0.914572417542283,0.6789452106448979
0.5418692404889374,0.3732702327083519
0.712306703681376,0.27217663684768945
0.21245696417444837,0.038124568364555356
0.5368123993310773,0.9736509752898116
0.9967313577402522,0.0451487252189563
0.4399427952812286,0.7534732959554443
0.11198621691438493,0.0913395739040721
0.9025587060083939,0.38968885204270465
0.7096891328616256,0.32499984769639245
0.8217276287724845,0.8349100277458754
0.9104642907341409,0.42152693083534254
0.2631433297712067,0.76477065277965
0.5415561861282683,0.8374777426337339
0.6202799865099577,0.9366353217671288
0.5844287224859881,0.9721007858289268
0.2294958985917459,0.013067689037512986
0.7155062246826477,0.0865117366084166
0.794186980987085,0.31673198810372116
0.5635604283597332,0.16783003976834565
0.10670901591480764,0.7783027308102752
0.7338762643201934,0.67161775588418
0.5343087158959645,0.018425432648616846
0.060533935153710305,0.7058284685258451
0.2343104124569938,0.8904540901724366
0.18294465611693755,0.29305555195266797
0.2519983831205619,0.1499315009792338
0.7009528418420559,0.5815291435857206
0.6564133976180617,0.6451138021647045
0.3767090066598785,0.4868851935676439
0.18390923373683543,0.4565618618967461
0.018994766837728827,0.5765748063942274
0.6006581375508812,0.6597087064876919
0.3569779701513691,0.1019611739429338
0.5108623547413573,0.8338210595398522
0.6019343570652368,0.10157041044807547
0.19043080834087445,0.45911707500684484
0.41320536141706676,0.4179687147496587
0.8979942908033012,0.40831564153200794
0.9208904906365659,0.17652773295684887
0.6029537925978845,0.7550792783671535
0.9748279966609558,0.4700312378178849
0.7727300898458668,0.6254951181432625
0.6058018771017276,0.5949216900119179
0.4066548332178185,0.11036160123418026
0.04536905595678842,0.4652514445376792
0.9163769156707463,0.33960397126520336
0.03492990152127995,0.7536307016108984
0.43231415663972106,0.686139505484954
0.37623105743193763,0.30168477204651356
0.4369644852314297,0.4069972236520927
0.14774800780016772,0.710560312451389
0.8824293818951032,0.8038046877000521
0.559480137083301,0.47762698472807064
0.459284117478696,0.9398924354429473
0.7533436096689593,0.6916859778684892
0.9930817262999294,0.30609472838856666
0.8724627634043325,0.991867479364989
0.1160605379338463,0.16910562163947385
0.48362249763549414,0.8717993032005034
0.08836677182914143,0.9521602757658658
0.7740584381040514,0.39771043678421936
